Resztvevok,ertelmetlen-1,mn-1,szsz-1,ertelmetlen-2,mn-2,szsz-2,ertelmetlen,mn,szsz,1,2,eletkor,nem
1,1.392995556,1.444542222,1.486028889,1.252657778,1.445469767,1.50824,1.322826667,1.444995455,1.497134444,1.441188889,1.401470677,24,nõ
3,1.493511364,1.464513333,1.441569767,1.476875,1.529354545,1.406391111,1.485193182,1.496569663,1.423580682,1.466705303,1.470388722,20,nõ
4,1.713954545,1.726154545,1.793280952,1.720874419,1.9388,1.597453659,1.717374713,1.843971622,1.696546988,1.745335294,1.751872,21,nõ
5,1.302546667,1.350544444,1.319244444,1.334257778,1.319275556,1.280942222,1.318402222,1.33491,1.300093333,1.324111852,1.311491852,20,nõ
6,1.171448889,1.180646667,1.2225,1.152404444,1.223555556,1.267408889,1.161926667,1.202101111,1.244954444,1.191531852,1.214456296,20,nõ
7,1.145915909,1.138,1.127288889,1.152768889,1.208672727,1.15256,1.149380899,1.172939326,1.139924444,1.137002239,1.171055224,24,nõ
8,1.100035556,1.172811111,1.155526667,1.034606667,1.162806667,1.121877778,1.067321111,1.167808889,1.138702222,1.142791111,1.10643037,38,férfi
9,1.5974825,1.581297143,1.483822857,1.6636725,1.754191667,1.745583784,1.6305775,1.668961972,1.618338889,1.556168182,1.719330973,20,nõ
10,1.532248889,1.471871111,1.251993333,1.573255556,1.450562222,1.26872,1.552752222,1.461216667,1.260356667,1.418704444,1.430845926,18,nõ
11,1.655497778,1.790215909,1.396753333,1.734727907,1.730158537,1.443431111,1.6942125,1.761247059,1.420092222,1.612841791,1.631660465,22,férfi
12,1.533237209,1.598797778,1.319913333,1.432963636,1.487055556,1.340166667,1.482524138,1.542926667,1.33004,1.483242105,1.419965672,21,nõ
13,1.010837778,0.973704444,0.874482222,1.03606,1.0138,0.910464444,1.023448889,0.993752222,0.892473333,0.953008148,0.986774815,23,nõ
14,1.351618605,1.273581395,1.360829545,1.354835556,1.319893023,1.222856818,1.353263636,1.296737209,1.291843182,1.328923846,1.299459848,20,férfi
15,1.444893182,1.701584615,1.487866667,1.673423256,1.64401,1.601277778,1.557844828,1.672432911,1.544572222,1.542019328,1.641710924,38,nõ
16,1.611727907,1.510332432,1.517030233,1.472852273,1.528658537,1.329830952,1.541491954,1.519965385,1.424531765,1.548121138,1.443570079,19,nõ
20,1.473904878,1.729616667,1.510306667,1.425202326,1.661095,1.506730952,1.44897381,1.693552632,1.50858046,1.562787705,1.5280816,24,nõ
21,1.578178571,1.842828571,1.8070575,1.670443902,1.632621053,1.770108108,1.623755422,1.74298,1.789302597,1.74165,1.689843103,21,nõ
22,1.035455556,1.044326667,0.953182222,1.02102,1.004946667,0.933977778,1.028237778,1.024636667,0.94358,1.010988148,0.986648148,22,nõ
23,2.048430556,2.082913889,1.987024324,2.035266667,2.033130769,1.974082353,2.041848611,2.062037097,1.980826761,2.038975229,2.01301875,27,nõ
24,1.305290909,1.347597727,1.240115909,1.261397619,1.276111905,1.272408889,1.283854651,1.312686047,1.25644382,1.297668182,1.270029457,21,férfi
25,1.7884,1.7810325,1.889133333,1.766144186,1.773807692,1.854085366,1.77686988,1.777465823,1.869714865,1.815209735,1.797887805,19,nõ
